,riding,Ave_Age_All,Ave_Age_Male,Ave_Age_Female,bike_rate,pop,NoPostsecondary_all,NoPostsecondary_male,NoPostsecondary_female,french,HouseNeed,income_all,income_male,income_female,unemploy_all,unemploy_male,unemploy_female,Constituency,Province / Territory,First Name,Last Name,Political Affiliation
357,Nunavut,28.3,28.3,28.2,0.2,36860,70.4,71.7,69.1,1.4,14.9,37600,33200,41600,16.9,19.5,14.2,Nunavut,Nunavut,Lori,Idlout,NDP
192,Oakville East,39.8,39,40.5,0.5,108745,30.6,30.5,30.6,1.2,6,46800,57200,40400,11.6,10.2,13.1,Oakville East,Ontario,Anita,Anand,Liberal
193,Oakville West,41,40,42,0.4,105015,32.9,33.7,32.1,1.6,6.3,47600,58000,40800,11.9,10,13.8,Oakville West,Ontario,Sima,Acan,Liberal
331,Okanagan Lake West--South Kelowna,45.2,44.5,45.8,1.4,106795,41.5,42.6,40.4,1.5,4,42800,50400,37200,7.9,8.4,7.4,Okanagan Lake West—South Kelowna,British Columbia,Dan,Albas,Conservative
194,Orléans,40.5,39.7,41.3,0.5,127000,34.9,36.4,33.5,28.4,3.3,56400,63200,50800,8.7,7.9,9.5,Orléans,Ontario,Marie-France,Lalonde,Liberal
195,Oshawa,42.1,40.9,43.2,0.2,131070,51.3,54.1,48.7,1.7,6.6,39600,44400,35600,15.4,14,16.8,Oshawa,Ontario,Rhonda,Kirkland,Conservative
198,Ottawa Centre,41.3,40.7,41.8,4.9,126560,25.9,27.1,24.7,9.2,4.5,54000,57600,50800,10,9.7,10.3,Ottawa Centre,Ontario,Yasir,Naqvi,Liberal
196,Ottawa South,39.6,38.6,40.6,1.5,126780,39.2,40.5,37.9,10.5,6.4,42800,45200,40800,12.2,11.6,12.8,Ottawa South,Ontario,David,McGuinty,Liberal
197,Ottawa West--Nepean,42.6,40.8,44.2,1.6,128520,36.1,37.2,35,6.6,6.1,43600,46400,41200,12.2,11.6,12.9,Ottawa West—Nepean,Ontario,Anita,Vandenbeld,Liberal
199,Ottawa--Vanier--Gloucester,42.3,41.2,43.3,2.6,126920,37.2,38.2,36.3,23.2,6,43200,45200,41200,12.5,12.1,12.8,Ottawa—Vanier—Gloucester,Ontario,Mona,Fortier,Liberal
